ticker,company_name,exchange,periods_total,total_articles,periods_active,periods_pass,active_ratio,pass_ratio,avg_articles_per_period,median_articles_per_period,p25_articles_per_period,avg_articles_per_month,median_articles_per_month,keep
APT,Alpha Pro Tech,Ltd. Common Stock,96,1703.0,91,76,0.9479,0.7917,17.74,11.5,4.0,17.74,11.5,True
APVO,Aptevo Therapeutics Inc. - Common Stock,NASDAQ,96,1724.0,91,80,0.9479,0.8333,17.958,13.0,6.0,17.958,13.0,True
AQB,AquaBounty Technologies,Inc. - Common Stock,96,1365.0,94,67,0.9792,0.6979,14.219,6.0,3.0,14.219,6.0,True
AQMS,Aqua Metals,Inc. - Common Stock,96,980.0,91,64,0.9479,0.6667,10.208,6.0,2.0,10.208,6.0,True
AQST,Aquestive Therapeutics,Inc. - Common Stock,96,1494.0,94,72,0.9792,0.75,15.562,8.5,3.75,15.562,8.5,True
ARDT,Ardent Health,Inc. Common Stock,96,1421.0,96,83,1.0,0.8646,14.802,10.0,6.0,14.802,10.0,True
ARDX,Ardelyx,Inc. - Common Stock,96,1992.0,96,90,1.0,0.9375,20.75,15.0,10.0,20.75,15.0,True
ARE,Alexandria Real Estate Equities,Inc. Common Stock,96,3447.0,96,96,1.0,1.0,35.906,32.5,21.0,35.906,32.5,True
ARHS,Arhaus,Inc. - Class A Common Stock,96,1696.0,96,94,1.0,0.9792,17.667,15.0,10.0,17.667,15.0,True
ARI,Apollo Commercial Real Estate Finance,Inc,96,959.0,91,76,0.9479,0.7917,9.99,7.0,4.0,9.99,7.0,True
ARKK,ARK Innovation ETF,Z,96,7423.0,96,94,1.0,0.9792,77.323,41.0,16.5,77.323,41.0,True
ARKW,ARK Next Generation Internet ETF,Z,96,1206.0,72,58,0.75,0.6042,12.562,7.0,1.5,12.562,7.0,True
ARLO,Arlo Technologies,Inc. Common Stock,96,1998.0,93,83,0.9688,0.8646,20.812,11.0,6.0,20.812,11.0,True
ARLP,Alliance Resource Partners,L.P. - Common Units Representing Limited Partnership Interests,96,3728.0,94,86,0.9792,0.8958,38.833,16.0,7.0,38.833,16.0,True
AROC,Archrock,Inc. Common Stock,96,1403.0,93,77,0.9688,0.8021,14.615,8.0,4.75,14.615,8.0,True
ARQT,Arcutis Biotherapeutics,Inc. - Common stock,96,1080.0,74,68,0.7708,0.7083,11.25,9.0,2.75,11.25,9.0,True
ARRY,Array Technologies,Inc. - Common Stock,96,5754.0,96,96,1.0,1.0,59.938,58.5,37.0,59.938,58.5,True
ARW,Arrow Electronics,Inc. Common Stock,96,5328.0,96,96,1.0,1.0,55.5,38.5,24.75,55.5,38.5,True
AS,Amer Sports,Inc. Ordinary Shares,96,3015.0,96,93,1.0,0.9688,31.406,23.5,10.75,31.406,23.5,True
ASAN,Asana,Inc. Class A Common Stock,96,20627.0,96,96,1.0,1.0,214.865,209.0,125.5,214.865,209.0,True
