num_timesteps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/explained_variance,train/n_updates,train/clip_range
2048.0,,,,,,,,,,
4096.0,0.0002762432,73.12219305038452,-0.007538924680557102,0.004504074589931406,0.008483168669044971,0.031201171875,0.060204602777957916,0.07708221673965454,10.0,0.2
6144.0,0.0002524864,73.14704036712646,-0.015648905013222247,0.0035200489306589588,0.015221931040287018,0.097021484375,0.05319781228899956,0.20875579118728638,20.0,0.2
8192.0,0.00022872959999999996,73.1890648841858,-0.020421988103771584,0.0054895744717214255,0.01701185293495655,0.1458984375,0.050195131450891495,0.24605846405029297,30.0,0.2
10240.0,0.00020497279999999996,73.1952133178711,-0.023220869235228748,0.004544589013676159,0.015065280720591545,0.145068359375,0.04404893144965172,0.42155200242996216,40.0,0.2
12288.0,0.00018121599999999997,73.2747908592224,-0.02571044784854166,0.004496788879623637,0.015308388508856297,0.166748046875,0.0385754331946373,0.48812562227249146,50.0,0.2
14336.0,0.0001574592,73.33958101272583,-0.02447499964036979,0.006045429469668307,0.014017453417181969,0.142919921875,0.029762547463178635,0.46752411127090454,60.0,0.2
16384.0,0.0001337024,73.32891082763672,-0.022712062322534622,0.003311066620517522,0.01109091006219387,0.11767578125,0.05225467309355736,0.5075763463973999,70.0,0.2
18432.0,0.00010994559999999997,73.4042781829834,-0.024469661712646484,0.00504378731129691,0.016778528690338135,0.16357421875,0.029531918466091156,0.57509446144104,80.0,0.2
20480.0,8.618879999999997e-05,73.4083046913147,-0.02187405154109001,0.003910890742554329,0.011949826031923294,0.124560546875,0.03440188616514206,0.5739770531654358,90.0,0.2
22528.0,6.243199999999999e-05,73.46587495803833,-0.021156053632148543,0.0038757172733312473,0.010550632141530514,0.114111328125,0.03440099582076073,0.5756766200065613,100.0,0.2
24576.0,3.8675199999999985e-05,73.47758045196534,-0.01742544363369234,0.0027846533572301268,0.008511863648891449,0.077490234375,0.04913109913468361,0.48262637853622437,110.0,0.2
26624.0,1.4918399999999993e-05,73.56920280456544,-0.009493423468666152,0.004060575144831091,0.005215844139456749,0.034130859375,0.05572156235575676,0.6490349769592285,120.0,0.2
28672.0,,,,,,,,,,
30720.0,0.00013893382922671623,73.55802974700927,-0.025715254113310947,0.04686413509771228,0.016225723549723625,0.150927734375,0.034847114235162735,-0.2340083122253418,140.0,0.2
32768.0,0.00012742910274291024,73.61582260131836,-0.019258225442899856,0.010910307295853272,0.01406045351177454,0.132373046875,0.04289183020591736,0.17848563194274902,150.0,0.2
34816.0,0.00011592437625910427,73.63042182922364,-0.01852281412866432,0.0070035178679972885,0.011036619544029236,0.10625,0.0434773825109005,0.6226932406425476,160.0,0.2
36864.0,0.0001044196497752983,73.69939031600953,-0.026216160075273366,0.0056246714142616835,0.014819747768342495,0.16064453125,0.03444606438279152,0.6603120565414429,170.0,0.2
38912.0,9.291492329149232e-05,73.92400541305543,-0.023557206627447157,0.008427322999341413,0.01481681503355503,0.1595703125,0.044098030775785446,0.6606872081756592,180.0,0.2
40960.0,8.141019680768634e-05,73.80916337966919,-0.02495486495317891,0.004922415807959624,0.014581169001758099,0.141162109375,0.029250070452690125,0.6600340604782104,190.0,0.2
43008.0,6.990547032388035e-05,73.81265707015991,-0.021588061202783136,0.0038446088758064432,0.011279724538326263,0.092333984375,0.05452663078904152,0.7501429915428162,200.0,0.2
45056.0,5.8400743840074364e-05,73.80378770828247,-0.020059129814035258,0.00419210456602741,0.011478017084300518,0.112939453125,0.038673195987939835,0.6133065819740295,210.0,0.2
47104.0,4.689601735626839e-05,73.75010843276978,-0.0132504754466936,0.005275596672436223,0.009664700366556644,0.08837890625,0.054702818393707275,0.48709195852279663,220.0,0.2
49152.0,3.539129087246242e-05,73.86125907897949,-0.017411275312770157,0.0037793441617395727,0.009087903425097466,0.090234375,0.04817385971546173,0.5619631409645081,230.0,0.2
51200.0,2.3886564388656447e-05,73.88781337738037,-0.014359192020492628,0.003825772853451781,0.005469589028507471,0.0361328125,0.046585001051425934,0.6584832072257996,240.0,0.2
53248.0,1.2381837904850473e-05,73.92767524719238,-0.010409218331915326,0.004340261328616179,0.007005033548921347,0.037353515625,0.06188328191637993,0.586631715297699,250.0,0.2
55296.0,,,,,,,,,,
57344.0,9.506389939678969e-05,73.76558628082276,-0.02315893080085516,0.0036782577022677287,0.015281341038644314,0.188525390625,0.04285501688718796,0.4556726813316345,270.0,0.2
59392.0,8.747367344852264e-05,73.8573595046997,-0.026313765824306758,0.0033076978957979008,0.019178040325641632,0.17529296875,0.04398640990257263,0.49979084730148315,280.0,0.2
61440.0,7.988344750025558e-05,73.89788761138917,-0.02270034364773892,0.002803506428608671,0.012954436242580414,0.127880859375,0.03546992316842079,0.45106935501098633,290.0,0.2
63488.0,7.229322155198855e-05,73.97976922988892,-0.02175185009255074,0.003962756504188291,0.01516528520733118,0.1306640625,0.04549189656972885,0.4440940022468567,300.0,0.2
65536.0,6.47029956037215e-05,73.96336498260499,-0.018575034907553346,0.003839911340037361,0.010465414263308048,0.110546875,0.035551220178604126,0.5421849489212036,310.0,0.2
67584.0,5.711276965545444e-05,74.03234901428223,-0.019596158439526334,0.005047445491072722,0.010459023527801037,0.113623046875,0.05312276631593704,0.4080962538719177,320.0,0.2
69632.0,4.9522543707187384e-05,74.30251903533936,-0.019836714933626355,0.004526993577019312,0.011625822633504868,0.095849609375,0.04646604508161545,0.6332072019577026,330.0,0.2
71680.0,4.1932317758920357e-05,74.17080917358399,-0.022288259770721196,0.0037762603751616552,0.01248345896601677,0.12021484375,0.04101267084479332,0.5747707486152649,340.0,0.2
73728.0,3.43420918106533e-05,74.04046745300293,-0.015019867502269335,0.004914293740876019,0.008090583607554436,0.0689453125,0.049745962023735046,0.4499971866607666,350.0,0.2
75776.0,2.6751865862386248e-05,74.33741626739501,-0.015923798945732415,0.003772967474651523,0.009214740246534348,0.0720703125,0.05634981766343117,0.5670332312583923,360.0,0.2
77824.0,1.9161639914119223e-05,74.17915706634521,-0.012117481743916868,0.0032806926814373583,0.0068073817528784275,0.04169921875,0.05090991407632828,0.6601947546005249,370.0,0.2
79872.0,1.1571413965852169e-05,74.28530330657959,-0.00890163514413871,0.004129979832214303,0.0048701888881623745,0.02421875,0.06245828792452812,0.5683994293212891,380.0,0.2
81920.0,,,,,,,,,,
83968.0,7.346860935235332e-05,74.6650170326233,-0.030225654289824887,0.004805295731057413,0.016697829589247704,0.163037109375,0.025860602036118507,0.4912745952606201,400.0,0.2
86016.0,6.780532458616217e-05,74.32921390533447,-0.019456309312954546,0.004123071703361347,0.016062872484326363,0.1419921875,0.048062536865472794,0.4712979197502136,410.0,0.2
88064.0,6.214203981997101e-05,74.70275020599365,-0.0296215363079682,0.0041217873163986955,0.01616695523262024,0.1572265625,0.02926712855696678,0.5150352716445923,420.0,0.2
90112.0,5.647875505377983e-05,74.78752698898316,-0.022387546312529594,0.005490373427164741,0.011965878307819366,0.10888671875,0.0401775985956192,0.4679896831512451,430.0,0.2
92160.0,5.081547028758868e-05,74.84488382339478,-0.026232830283697696,0.004305688737076707,0.01672261394560337,0.1529296875,0.03661476448178291,0.5641086101531982,440.0,0.2
94208.0,4.51521855213975e-05,74.58210468292236,-0.019987645154469647,0.004071989367366769,0.011263635009527206,0.106689453125,0.05001603066921234,0.4114528298377991,450.0,0.2
96256.0,3.948890075520634e-05,74.40046072006226,-0.020882857003016397,0.0026698872301494704,0.010645410045981407,0.09775390625,0.04486275836825371,0.6513891220092773,460.0,0.2
98304.0,3.382561598901516e-05,74.55723056793212,-0.020384636824019253,0.004885106233996339,0.011289330199360847,0.113525390625,0.03901601955294609,0.4509294033050537,470.0,0.2
100352.0,2.816233122282401e-05,74.70858173370361,-0.017167202587006613,0.004698850587010384,0.010174699127674103,0.0974609375,0.059921033680438995,0.35580432415008545,480.0,0.2
102400.0,2.249904645663286e-05,74.44906501770019,-0.017132639361079782,0.00348061726836022,0.008957413956522942,0.0689453125,0.044892773032188416,0.41986536979675293,490.0,0.2
104448.0,1.6835761690441677e-05,74.82473249435425,-0.012634605501079931,0.0048191196110565215,0.007568354718387127,0.05830078125,0.056450504809617996,0.5495567321777344,500.0,0.2
106496.0,1.1172476924250525e-05,74.71732635498047,-0.008621028033667244,0.003978459452628158,0.006084638647735119,0.04892578125,0.06321094185113907,0.4551994800567627,510.0,0.2
108544.0,,,,,,,,,,
110592.0,6.0618117661373735e-05,74.50892658233643,-0.026545381709001958,0.0035979507316369562,0.015175828710198402,0.164990234375,0.04221387580037117,0.4699620008468628,530.0,0.2
112640.0,5.6101478371965674e-05,74.67905025482177,-0.02421348656353075,0.0044256079941987995,0.013461301103234291,0.1443359375,0.04527226462960243,0.4081157445907593,540.0,0.2
114688.0,5.158483908255764e-05,74.85446052551269,-0.021505423204507677,0.0040839563385816294,0.011476107873022556,0.10419921875,0.0411137118935585,0.5657333135604858,550.0,0.2
116736.0,4.706819979314958e-05,75.38560075759888,-0.028937645186670125,0.0033399704116163775,0.013309555128216743,0.1328125,0.035576000809669495,0.5425300002098083,560.0,0.2
118784.0,4.255156050374155e-05,74.66938848495484,-0.017596702690934763,0.004955961546511389,0.00975157879292965,0.108203125,0.0429375022649765,0.3491579294204712,570.0,0.2
120832.0,3.803492121433352e-05,75.23409404754639,-0.021433166670612992,0.004230513237416744,0.013390643522143364,0.125390625,0.04661641642451286,0.4366433024406433,580.0,0.2
122880.0,3.351828192492546e-05,74.76427516937255,-0.020639651513192803,0.005391731869895011,0.0113474540412426,0.093798828125,0.0441431887447834,0.39786309003829956,590.0,0.2
124928.0,2.9001642635517435e-05,74.92837781906128,-0.01913599406252615,0.003549798208405264,0.010177824646234512,0.0845703125,0.045361634343862534,0.5988929867744446,600.0,0.2
126976.0,2.4485003346109373e-05,75.11590518951417,-0.0184640038292855,0.0038201275718165563,0.009150330908596516,0.079052734375,0.05410616099834442,0.5934665203094482,610.0,0.2
129024.0,1.9968364056701346e-05,75.57458992004395,-0.017523165891179814,0.006769615525263362,0.011819045059382915,0.08984375,0.04522969201207161,0.48914361000061035,620.0,0.2
131072.0,1.5451724767293315e-05,75.47802801132202,-0.01418770020827651,0.0033651347737759353,0.008371611125767231,0.07197265625,0.05698227882385254,0.6186394095420837,630.0,0.2
133120.0,1.0935085477885254e-05,75.55218210220337,-0.013466022600186988,0.005667615291895345,0.007486822083592415,0.0609375,0.06321901082992554,0.37328797578811646,640.0,0.2
135168.0,,,,,,,,,,
137216.0,5.209511763217808e-05,75.5975646018982,-0.024543259269557895,0.0037763102853205057,0.015397878363728523,0.13740234375,0.0370527021586895,0.5419668555259705,660.0,0.2
139264.0,4.8338983050847455e-05,74.9237018585205,-0.01916201333515346,0.002963335544336587,0.011983278207480907,0.12998046875,0.043854061514139175,0.3439115285873413,670.0,0.2
141312.0,4.45828484695168e-05,75.07652988433838,-0.023203289328375832,0.002810186706483364,0.010239552706480026,0.114453125,0.0462244488298893,0.6193323731422424,680.0,0.2
143360.0,4.0826713888186174e-05,75.77817420959472,-0.023944367532385512,0.0028978891321457924,0.010931113734841347,0.126220703125,0.04093574732542038,0.577896237373352,690.0,0.2
145408.0,3.7070579306855554e-05,75.29864978790283,-0.02055394675116986,0.00314148192119319,0.011474765837192535,0.12099609375,0.050060056149959564,0.4643041491508484,700.0,0.2
147456.0,3.331444472552493e-05,75.78202314376831,-0.02437072086613625,0.003518315576366149,0.011963363736867905,0.1244140625,0.041421446949243546,0.6284065842628479,710.0,0.2
149504.0,2.9558310144194266e-05,75.46075658798217,-0.01879971530288458,0.004013514326652512,0.011149011552333832,0.110009765625,0.036185264587402344,0.46514302492141724,720.0,0.2
151552.0,2.5802175562863646e-05,76.30179328918457,-0.019446104776579886,0.003319251094944775,0.009767930954694748,0.0912109375,0.04973611235618591,0.409115195274353,730.0,0.2
153600.0,2.204604098153302e-05,75.5778395652771,-0.018833127903053536,0.0027685746652423406,0.009075681678950787,0.074658203125,0.047207705676555634,0.4713001251220703,740.0,0.2
155648.0,1.828990640020236e-05,75.80888471603393,-0.014191046502673998,0.0031381696288008245,0.0072910720482468605,0.055615234375,0.0459669753909111,0.48748159408569336,750.0,0.2
157696.0,1.4533771818871738e-05,75.5687647819519,-0.015840330958599224,0.004212504968745634,0.008648630231618881,0.06962890625,0.055151499807834625,0.5575437545776367,760.0,0.2
159744.0,1.0777637237541111e-05,75.32197341918945,-0.00940441919665318,0.0046890495606930925,0.005378004163503647,0.027880859375,0.06224905326962471,0.36081820726394653,770.0,0.2
161792.0,,,,,,,,,,
163840.0,4.602866669553542e-05,76.37738466262817,-0.026309447106905283,0.0036394262715475634,0.014631904661655426,0.132470703125,0.05045873299241066,0.47775471210479736,790.0,0.2
165888.0,4.2813839691681447e-05,76.23359241485596,-0.025677699217339978,0.003313213592628017,0.014027249999344349,0.152294921875,0.034903690218925476,0.5589048266410828,800.0,0.2
167936.0,3.9599012687827465e-05,75.51530418395996,-0.020446923025883735,0.003998222353402525,0.011698274873197079,0.125830078125,0.0453617125749588,0.3028199076652527,810.0,0.2
169984.0,3.638418568397349e-05,75.42761325836182,-0.020411283627618106,0.003783327050041407,0.011320510879158974,0.116162109375,0.04396269842982292,0.3575371503829956,820.0,0.2
172032.0,3.316935868011951e-05,76.46047983169555,-0.02545194644771982,0.0040198033093474805,0.013855703175067902,0.13955078125,0.04613622650504112,0.4599558711051941,830.0,0.2
174080.0,2.9954531676265532e-05,76.27431812286378,-0.01866550495615229,0.0038260899687884375,0.009864240884780884,0.094091796875,0.04677365720272064,0.4395908713340759,840.0,0.2
176128.0,2.673970467241155e-05,76.81813077926635,-0.020089045568602158,0.004034067466272972,0.009908275678753853,0.090087890625,0.04286818206310272,0.5636695623397827,850.0,0.2
178176.0,2.3524877668557572e-05,76.42306957244872,-0.018031006015371533,0.0038456823356682436,0.010131100192666054,0.0921875,0.04398006945848465,0.4204559326171875,860.0,0.2
180224.0,2.0310050664703593e-05,75.46204023361206,-0.014209078077692538,0.004623292293399572,0.00903487391769886,0.0724609375,0.06003817543387413,0.2781746983528137,870.0,0.2
182272.0,1.7095223660849615e-05,75.8163230895996,-0.013649114756844938,0.005935915364534594,0.007602280005812645,0.05966796875,0.058165546506643295,0.320715069770813,880.0,0.2
184320.0,1.3880396656995636e-05,76.2216341972351,-0.01449087544460781,0.0039026903599733488,0.009124111384153366,0.06533203125,0.052842773497104645,0.4391394853591919,890.0,0.2
186368.0,1.0665569653141656e-05,75.4781888961792,-0.010401379776885733,0.004926935670664534,0.007435372099280357,0.057080078125,0.06158330664038658,0.3915832042694092,900.0,0.2
188416.0,,,,,,,,,,
190464.0,4.1490481056735175e-05,76.10996503829956,-0.023368276600376704,0.005455740902107209,0.012747101485729218,0.127294921875,0.04835714399814606,0.48654335737228394,920.0,0.2
192512.0,3.8680594981264895e-05,76.48528871536254,-0.025386421213625,0.0043483023822773244,0.014735754579305649,0.156396484375,0.03015068545937538,0.5202168822288513,930.0,0.2
194560.0,3.5870708905794615e-05,76.50353536605834,-0.02556939934147522,0.005439707633922808,0.014649777673184872,0.148681640625,0.040061257779598236,0.48880666494369507,940.0,0.2
196608.0,3.306082283032437e-05,76.25682048797607,-0.02362315960926935,0.004780569003196433,0.013047496788203716,0.112841796875,0.036375854164361954,0.538211464881897,950.0,0.2
198656.0,3.025093675485409e-05,76.66052579879761,-0.02117673453758471,0.0035330448299646378,0.011544008739292622,0.11103515625,0.040127817541360855,0.5315702557563782,960.0,0.2
200704.0,2.744105067938381e-05,75.81521825790405,-0.022265924653038383,0.0037735180521849543,0.012269552797079086,0.112841796875,0.040323223918676376,0.39174044132232666,970.0,0.2
202752.0,2.4631164603913567e-05,75.99268970489501,-0.01894865034846589,0.00433483961969614,0.012256063520908356,0.10048828125,0.05343051999807358,0.4319952130317688,980.0,0.2
204800.0,2.1821278528443287e-05,76.12201776504517,-0.020025265705771744,0.00427519461081829,0.010545317083597183,0.092138671875,0.05510345846414566,0.4992068409919739,990.0,0.2
206848.0,1.901139245297301e-05,76.85429124832153,-0.01967079358873889,0.006513481150614097,0.012354840524494648,0.120849609375,0.039192914962768555,0.37578558921813965,1000.0,0.2
208896.0,1.620150637750273e-05,76.7642695426941,-0.019451519317226485,0.003015846450580284,0.010941937565803528,0.097314453125,0.04166409745812416,0.4579850435256958,1010.0,0.2
210944.0,1.3391620302032483e-05,76.45608053207397,-0.01406857807887718,0.005006298283115029,0.006692860275506973,0.05546875,0.05132443830370903,0.35340940952301025,1020.0,0.2
212992.0,1.0581734226562205e-05,76.34276657104492,-0.013534166506724432,0.003935192435164936,0.006698512006551027,0.04775390625,0.04814142733812332,0.41939520835876465,1030.0,0.2
215040.0,,,,,,,,,,
217088.0,3.7967662778580795e-05,77.65519485473632,-0.024765962577657775,0.003895729381474666,0.013289153575897217,0.139501953125,0.03420841321349144,0.388988196849823,1050.0,0.2
219136.0,3.547211670980536e-05,77.61743059158326,-0.025034682441037147,0.003721332270652056,0.012996499426662922,0.148193359375,0.04692797735333443,0.46752333641052246,1060.0,0.2
221184.0,3.2976570641029964e-05,76.9408631324768,-0.023791524989064783,0.0028616741590667518,0.013133781030774117,0.132861328125,0.040967296808958054,0.45301246643066406,1070.0,0.2
223232.0,3.0481024572254525e-05,75.61132745742798,-0.011700470838695765,0.0057798258436378095,0.007866917178034782,0.078173828125,0.06413360685110092,0.2030935287475586,1080.0,0.2
225280.0,2.7985478503479092e-05,76.4300693511963,-0.02005517182406038,0.004863051677239128,0.01176704652607441,0.112060546875,0.05186375603079796,0.3233581781387329,1090.0,0.2
227328.0,2.5489932434703694e-05,76.93427143096923,-0.02160290044848807,0.0037233767128782348,0.010121261700987816,0.10244140625,0.03366943448781967,0.38797831535339355,1100.0,0.2
229376.0,2.2994386365928262e-05,75.70543584823608,-0.014884314720984549,0.005110908899223432,0.00864938274025917,0.059326171875,0.05724247545003891,0.2628738284111023,1110.0,0.2
231424.0,2.0498840297152857e-05,76.4108136177063,-0.01869600751088001,0.0057300080254208295,0.010292582213878632,0.09931640625,0.05053611844778061,0.4128158688545227,1120.0,0.2
233472.0,1.8003294228377424e-05,77.41263990402221,-0.022053357627009974,0.003496545477537438,0.011467693373560905,0.114990234375,0.047809239476919174,0.5541356801986694,1130.0,0.2
235520.0,1.5507748159601992e-05,77.37449522018433,-0.016813168430235236,0.006468039116589353,0.007614565081894398,0.08212890625,0.055172450840473175,0.40146082639694214,1140.0,0.2
237568.0,1.301220209082659e-05,76.03720455169677,-0.011212850152514876,0.004002251895144582,0.006140265613794327,0.037158203125,0.06113998219370842,0.46978914737701416,1150.0,0.2
239616.0,1.0516656022051158e-05,77.51912899017334,-0.014021594094811008,0.0049397847877116876,0.00906347669661045,0.07216796875,0.06096464395523071,0.49335241317749023,1160.0,0.2
241664.0,,,,,,,,,,
243712.0,3.5153732200622785e-05,77.51901407241822,-0.021510308748111127,0.004310105720651336,0.013738900423049927,0.126123046875,0.04219449311494827,0.5136876702308655,1180.0,0.2
245760.0,3.29092723040179e-05,77.49808378219605,-0.021212482004193588,0.004667342067114078,0.011644771322607994,0.12548828125,0.039972204715013504,0.5371982455253601,1190.0,0.2
247808.0,3.066481240741299e-05,76.83926544189453,-0.02026090835570358,0.0030503421497996897,0.012428469955921173,0.1109375,0.05057944357395172,0.5243216753005981,1200.0,0.2
249856.0,2.842035251080811e-05,76.15200691223144,-0.015053980384254827,0.005362876461003907,0.007877632975578308,0.069677734375,0.043681006878614426,0.3427046537399292,1210.0,0.2
251904.0,2.6175892614203227e-05,76.35815286636353,-0.01717444215901196,0.003932433199952357,0.009755011647939682,0.079248046875,0.038221247494220734,0.5144089460372925,1220.0,0.2
253952.0,2.3931432717598314e-05,77.16430978775024,-0.022963432711549103,0.005084793351124972,0.01146806962788105,0.0892578125,0.045775432139635086,0.4862503409385681,1230.0,0.2
256000.0,2.1686972820993434e-05,78.36613512039185,-0.018070712871849536,0.0033640636305790395,0.010968277230858803,0.096826171875,0.03929382190108299,0.523999810218811,1240.0,0.2
258048.0,1.944251292438855e-05,76.75179195404053,-0.01632776216720231,0.005563768514548428,0.008708292618393898,0.0736328125,0.04813813790678978,0.424399197101593,1250.0,0.2
260096.0,1.719805302778367e-05,76.9301339149475,-0.014193826814880595,0.00423265460121911,0.008104988373816013,0.071875,0.05055452138185501,0.4037325978279114,1260.0,0.2
262144.0,1.4953593131178754e-05,76.30111837387085,-0.011994703824166208,0.0038446647609816863,0.006380791775882244,0.048486328125,0.06731155514717102,0.4290744662284851,1270.0,0.2
264192.0,1.2709133234573873e-05,77.15488910675049,-0.014773630269337446,0.0035164536646334456,0.008627347648143768,0.070703125,0.057839881628751755,0.43309837579727173,1280.0,0.2
266240.0,1.046467333796899e-05,76.46878175735473,-0.015459892299259082,0.006098399974871427,0.00767210777848959,0.05390625,0.05902969464659691,0.3761102557182312,1290.0,0.2
268288.0,,,,,,,,,,
270336.0,3.285427825848098e-05,76.38147783279419,-0.021355314273387195,0.0036575989768607544,0.010080604813992977,0.108203125,0.04570998623967171,0.460196316242218,1310.0,0.2
272384.0,3.081499793984341e-05,77.21064701080323,-0.02395620499155484,0.004530927326413803,0.012070675380527973,0.13427734375,0.04409618675708771,0.4969683289527893,1320.0,0.2
274432.0,2.8775717621205876e-05,77.5418643951416,-0.021445506752934308,0.004224604115006514,0.012782150879502296,0.134033203125,0.04434971138834953,0.47049540281295776,1330.0,0.2
276480.0,2.673643730256834e-05,81.30755701065064,-0.028414520306978375,0.0036233691615052523,0.013916894793510437,0.13798828125,0.04898787662386894,0.5105491876602173,1340.0,0.2
278528.0,2.469715698393077e-05,76.98950862884521,-0.020275503053562717,0.004384360095718876,0.010937690734863281,0.116943359375,0.04322832077741623,0.5191766619682312,1350.0,0.2
280576.0,2.2657876665293233e-05,77.24021377563477,-0.020574445358943195,0.0032351352070691063,0.010605795308947563,0.09638671875,0.04669053852558136,0.4615212678909302,1360.0,0.2
282624.0,2.0618596346655662e-05,78.38511686325073,-0.020567488332744688,0.005363044451223686,0.010488007217645645,0.103271484375,0.050140127539634705,0.3302578330039978,1370.0,0.2
284672.0,1.8579316028018126e-05,77.59373788833618,-0.016882560279918836,0.0030888872570358217,0.008547311648726463,0.077001953125,0.051338814198970795,0.44823986291885376,1380.0,0.2
286720.0,1.654003570938059e-05,77.68137655258178,-0.01755151799879968,0.004447027176502161,0.009875647723674774,0.085986328125,0.05074034631252289,0.42666536569595337,1390.0,0.2
288768.0,1.450075539074302e-05,76.57195539474488,-0.016508494853042066,0.0031303938245400786,0.008342809975147247,0.060400390625,0.04859534278512001,0.6013990640640259,1400.0,0.2
290816.0,1.2461475072105481e-05,78.49831295013428,-0.019549674965674058,0.0038124802988022564,0.010230738669633865,0.0912109375,0.06300081312656403,0.5635896921157837,1410.0,0.2
292864.0,1.0422194753467945e-05,77.95087089538575,-0.014014879619935527,0.0046053561265580354,0.010828644037246704,0.083251953125,0.06577005982398987,0.4563024044036865,1420.0,0.2
294912.0,,,,,,,,,,
296960.0,3.094002466463644e-05,79.51370077133178,-0.024935291369911284,0.004019873894867488,0.01558154821395874,0.143359375,0.04571855813264847,0.5210393667221069,1440.0,0.2
299008.0,2.9071552613696407e-05,76.13098602294922,-0.021154299069894477,0.004483936645556241,0.013523063622415066,0.1466796875,0.058121949434280396,0.46967780590057373,1450.0,0.2
301056.0,2.72030805627564e-05,77.08100566864013,-0.025219995121005923,0.00294885897601489,0.012786176055669785,0.13232421875,0.046169448643922806,0.575901985168457,1460.0,0.2
303104.0,2.5334608511816367e-05,76.00643558502198,-0.01739947546739131,0.004030538181541488,0.009929906576871872,0.105810546875,0.04635045304894447,0.4444296360015869,1470.0,0.2
305152.0,2.3466136460876363e-05,80.76659355163574,-0.02315994877135381,0.004817819403251633,0.01293683610856533,0.12783203125,0.0448952317237854,0.43893206119537354,1480.0,0.2
